,Other,Description_name,standard_name,name
471,B.rapa_Brara.G00896.1.p_Macovei,BasicBrRa,B.rapa,B.rapa
567,S.bicolor_Sobic.010G111800.2.p_Macovei,BasicSoBi,S.bicolor,S.bicolor
687,E.grandis_Eucgr.G02349.1.p_Macovei,BasicEuGr,E.grandis,E.grandis
779,V.vinifera peptide_GSVIVT01011954001_Macovei,BasicViVi,V.vinifera,V.vinifera
867,PopulusTrichocarpaSOG1_Lib1,BasicPoTr,P.Trichocarpa,PopulusTrichocarpa
961,Nicotianatabacum(tobacco)_A0A1S3X2K2_TAIR,BasicNiTa,N.Tabacaum,Nicotianatabacum(tobacco)
1060,G.max_Glyma.10G204700.1.p_Macovei,BasicGlMa,G.max,G.max
1158, Selaginellamoellendorffii(spikemoss)_D8RBR5_TAIR,BasicSeMo,S.Moellendorffii,Selaginellamoellendorffii(spikemoss)
1175,MarchantiaPolymorphaSOG1_Lib1,BasicMaPo,M.Polymorpha,MarchantiaPolymorpha
1245,PhyscomitriumPatens_PpSOG1a,BasicPhPa,P.Patens,PhyscomitriumPatens
1329,Amborellatrichopoda_W1NK30_TAIR,BasicAmTr,A.Trichopoda,Amborellatrichopoda
1461,OryzaSativa_ XP_015640881.1,BasicOrSa,O.Sativa,OryzaSativa
1564,B.distachyon_Bradi1g43840.1.p_Macovei,BasicBrDi,B.distachyon,B.distachyon
1668,ZeaMays_ACL54469.1,BasicZeMa,Z.Mays,ZeaMays
1779,Nelumbonucifera_A0A1U8ABV8_TAIR,BasicNeSa,N.Nucifera,Nelumbonucifera
2975,Q6NQK2,BasicArTh,A.thaliana,Q6NQK2
